"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL7AP16",102.74288344187,0.219165400639396,0.0864173765717692,2.53612652146852,0.0112086230238696,0.0425506381460055
"BCAS2P2",181.621013813625,-0.0794208482953461,0.145837753190081,-0.54458359758074,0.586039938319606,0.731710932751691
"JAZF1-AS1",5.31319718510564,0.134415581351406,0.293807100600548,0.457496027416143,0.647314557008532,0.7778719208262
"ELF2P1",13.4978214424435,0.0637042593391019,0.246769956891081,0.25815241102149,0.796289283830784,0.879807582192462
"ERICH2-DT",1.17427599168809,0.135879756140733,0.657753918261327,0.206581446903289,0.836336750941161,0.904525770273955
"RPS26P47",8.88888111748751,-0.239248582292682,0.275352292713048,-0.868881751211743,0.384911811951312,0.561850228550634
"RPL7AP42",3.43474427312717,0.737177379493216,0.423041516509483,1.742565092844,0.0814096119603727,0.189058142822051
"PFN1P3",12.4883822935575,-0.0466085613688131,0.229125278590745,-0.203419551327915,0.838807119514178,0.906303680766316
"TATDN1P1",65.9861704656442,-0.303731487701201,0.223564040175395,-1.35858829292453,0.174277086979557,0.329830262015105
"OBI1-AS1",3.65132403488687,0.750179434724525,0.348762695876607,2.1509738386411,0.0314782646622227,0.093545164362068
"LINC01426",11.4045257433994,0.866198644878076,0.262857689086219,3.2953140837891,0.00098311731698518,0.00627125362203178
"CTBP2P8",10.0891473579395,0.557185917528336,0.288999554608675,1.92798192468775,0.0538573744907809,0.139363540285568
"USP27X-DT",11.836480985043,0.301804037752515,0.205923484840797,1.46561252100918,0.1427538781913,0.285185764465105
"CCDC188",28.9201929605505,-0.072800098955221,0.154802821112988,-0.470276306541502,0.638157622996832,0.771491379371245
"RPL5P7",2.18544222736061,-0.646586529739582,0.549824018793984,-1.17598814827668,0.23959961209576,0.411661558407906
"ZNF37BP",853.956619391035,-0.0309428815677647,0.0786241406792195,-0.393554464321706,0.693910005667141,0.810394543589761
"LINC01250",2.41100188401897,-0.396647118934087,0.419273742262944,-0.946033769711562,0.344131362309677,0.523942832082359
"LINC02983",15.4557036443293,0.92130211884846,0.211561144312023,4.35477942721689,1.33200972368798e-05,0.000215101822700469
"ZNF736",782.057739889448,0.0389188386004939,0.0640384805193337,0.607741443658146,0.543358971425522,0.698372249932044
"MAGI2-AS3",71.0130306439805,0.951022720982196,0.448451381635883,2.12068188420562,0.0339485820393119,0.0988953759900411
"PINLYP",12.4582059155644,0.961177765694978,0.223524232775031,4.30010542374781,1.70716877336266e-05,0.000259489653551124
"ZNF101P2",60.8750871859438,-0.419325202255309,0.139414134205895,-3.00776678522441,0.00263175014737109,0.0136066327781009
"ACBD3-AS1",15.7574815884987,0.380204181417725,0.195942109585557,1.94039036438826,0.052332266725305,0.136423071815765
"OR7E46P",1.45135554986056,1.0005111615019,0.671089249739546,1.49087645479376,0.135993934102109,0.27545501113198
"RPL34-DT",36.5838750618433,-0.0368875020826853,0.219919365424224,-0.167731941257331,0.866794166680483,0.922972439645041
"RHOXF1P1",14.3635019177968,0.420322801881958,0.484818339455394,0.866969682611666,0.385958621252955,0.56248847593615
"SP2-AS1",145.455886099523,-0.313701791760032,0.0871857840037863,-3.59808419852494,0.000320569847832244,0.00260666753385625
"RPL13AP20",1.17271126312925,0.509333181251079,0.675702303475496,0.753783402293151,0.450979291910835,0.620676018056581
"LINC01506",15.3178698433871,0.727441431883515,0.256355296133845,2.83762981633003,0.00454498605548077,0.0210346951763496
"SOD1-DT",5.12489620413394,-0.056093005964162,0.284286330851509,-0.197311653346643,0.84358366055423,0.909033436370745
"C5orf58",217.181451620079,0.0526965982481536,0.122032192203026,0.431825383915761,0.665868328997861,0.790873626939739
"PPP1R2P1",12.2617802483171,-0.0854202688108011,0.213258055387639,-0.400548849868918,0.688752311134449,0.806805287639335
"PTGES3P1",170.450293907987,-0.0580212909202119,0.0860530690272064,-0.674250106081259,0.500152318879376,0.662851653316214
"NDUFB1P2",4.1531808796494,-0.276982559758989,0.392625227004092,-0.705462972597281,0.480522166946889,0.646754428090933
"CSNK1G2P1",71.2181558603956,0.349229276494795,0.133938661106185,2.60738216740819,0.00912374666240109,0.0363749373514149
"FAM133B",388.19325115692,-0.197473727628841,0.0732704920092254,-2.69513309128561,0.00703605207169206,0.0296262949546398
"PPIAP90",5.52085952222094,-0.0651875364738251,0.325527336769573,-0.200252111299545,0.841283413531231,0.90755825324462
"TPMTP2",25.4367042708362,-0.0487805636912858,0.18276102261637,-0.266909010427678,0.789539218931509,0.875373574075821
"BIN2P1",1.68536987218375,0.00959422068237749,0.550448587901144,0.0174298215914409,0.986093718576531,0.99234218202947
